,title,price,date,url
43,Кирпич Слоновая кость рустик,15р.,4 часа назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_slonovaya_kost_rustik_1944569955
44,Кирпич,18р.,2 часа назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_1962761125
45,Кирпич,23р.,1 час назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_1962435364
46,Кирпич,15р.,1 час назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_1962090840
47,Кирпич Керма облицовочный,р.,1 час назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_kerma_oblitsovochnyy_1923190804
48,Кирпич Керамический,18р.,2 часа назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_keramicheskiy_1962536123
49,"Кирпич ""Арский"" Баварская кладка",17р.,1 день назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_arskiy_bavarskaya_kladka_1775973440
50,Кирпич силикатный зеленый колотый угловой утолщенн,р.,15 минут назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_silikatnyy_zelenyy_kolotyy_uglovoy_utolschenn_2096156603
51,"Кирпич Арский облицовочный,керамический,пустотелый",10р.,4 дня назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_arskiy_oblitsovochnyykeramicheskiypustotelyy_1951693254
52,Кирпич,10р.,2 часа назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_2076753655
53,Кирпич печной м150 Чайковский,р.,1 час назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_pechnoy_m150_chaykovskiy_1923845862
54,Кирпич,15р.,2 часа назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_1962330448
55,Кирпич красный,9р.,15 часов назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_krasnyy_2096835249
