Дом 120 м? на участке 5 сот.;2300000р.;1 день назад;https://www.avito.ru//kazan/doma_dachi_kottedzhi/dom_120_m_na_uchastke_5_sot._2020473413
Дом 80 м? на участке 6 сот.;3200000р.;1 день назад;https://www.avito.ru//kazan/doma_dachi_kottedzhi/dom_80_m_na_uchastke_6_sot._2122291230
Дом 97 м? на участке 7,6 сот.;7400000р.;16 минут назад;https://www.avito.ru//kazan/doma_dachi_kottedzhi/dom_97_m_na_uchastke_76_sot._2058437476
Дом 105 м? на участке 5 сот.;4599000р.;2 часа назад;https://www.avito.ru//kazan/doma_dachi_kottedzhi/dom_105_m_na_uchastke_5_sot._1955860157
Дом 120 м? на участке 6 сот.;4890000р.;19 часов назад;https://www.avito.ru//kazan/doma_dachi_kottedzhi/dom_120_m_na_uchastke_6_sot._2041230536
Дом 92 м? на участке 5 сот.;1800000р.;2 дня назад;https://www.avito.ru//kazan/doma_dachi_kottedzhi/dom_92_m_na_uchastke_5_sot._2028505643
Дом 95 м? на участке 4 сот.;5650000р.;1 час назад;https://www.avito.ru//kazan/doma_dachi_kottedzhi/dom_95_m_na_uchastke_4_sot._1902251044
Дом 100 м? на участке 4 сот.;2990р.;1 день назад;https://www.avito.ru//kazan/doma_dachi_kottedzhi/dom_100_m_na_uchastke_4_sot._2011689655
Дом 67,2 м? на участке 15 сот.;4300000р.;1 час назад;https://www.avito.ru//kazan/doma_dachi_kottedzhi/dom_672_m_na_uchastke_15_sot._2090093406
Дом 120 м? на участке 7 сот.;5350000р.;3 дня назад;https://www.avito.ru//kazan/doma_dachi_kottedzhi/dom_120_m_na_uchastke_7_sot._2079236389
Дом 80 м? на участке 5 сот.;2750000р.;6 часов назад;https://www.avito.ru//kazan/doma_dachi_kottedzhi/dom_80_m_na_uchastke_5_sot._738705222
Дом 130 м? на участке 4 сот.;6500000р.;19 часов назад;https://www.avito.ru//kazan/doma_dachi_kottedzhi/dom_130_m_na_uchastke_4_sot._2099190312
Дом 115 м? на участке 6 сот.;45000р.;2 часа назад;https://www.avito.ru//kazan/doma_dachi_kottedzhi/dom_115_m_na_uchastke_6_sot._2053285344
